Test Case ID,Test Title,Description,Preconditions,Test Steps,Test Data,Expected Output,Actual Output,Status
TC-FB-01,Submit User Feedback,Verify a user can submit a bug report with message and rating,"User is logged in; feedback page accessible","1. Navigate to Feedback page 2. Select type Bug 3. Enter message 4. Give 4-star rating 5. Click Submit","Type: bug, Message: PDF loading is slow, Rating: 4",Feedback submitted successfully; success confirmation shown,Feedback form submitted successfully; a success message was displayed and the feedback was recorded in the system,Pass
TC-FB-02,Admin Approves Feedback,Verify admin can view and approve/reject user feedback,"Admin is logged in; at least one feedback exists","1. Login as admin 2. Open Admin Dashboard 3. Navigate to Feedback section 4. Approve a feedback entry",Feedback ID: existing feedback,Feedback status updated to Approved; visible in dashboard,Admin approved the feedback entry; status updated to Approved and reflected immediately in the admin dashboard,Pass
TC-FB-03,Submit Feature Request Feedback,Verify a user can submit a feature request through the feedback form,"User is logged in; feedback page is accessible","1. Navigate to Feedback page 2. Select type Feature Request 3. Enter description 4. Give a star rating 5. Click Submit","Type: feature, Message: Add dark mode for reading, Rating: 5",Feedback submitted successfully; success confirmation message shown,Feature request feedback submitted successfully; a success confirmation message appeared on screen and the entry was recorded in the system,Pass
TC-FB-04,Admin Views All Feedback,Verify admin can view all submitted user feedback in the dashboard,"Admin is logged in; at least one feedback entry exists","1. Login as admin 2. Navigate to Admin Dashboard 3. Open Feedback section 4. View all entries","Admin credentials; feedback entries in database",All feedback entries listed with type; message; rating; status; and submitting user info,All feedback entries were listed in the admin panel showing type; message; star rating; status and submitting user details,Pass
TC-RD-09,Reading Progress Percentage Display,Verify the reading progress percentage is accurately shown in the reader,"User is logged in; a multi-page book is open","1. Open a 100-page book 2. Navigate to page 50 3. Check progress indicator",bookId: 100-page book; current page: 50,Progress bar or percentage shows 50% completion,Reading progress displayed 50% in the progress indicator reflecting correct page position,Pass
TC-FB-05,Admin Rejects Feedback,Verify admin can reject a user feedback entry,"Admin is logged in; at least one pending feedback exists","1. Login as admin 2. Open Admin Dashboard 3. Navigate to Feedback section 4. Click Reject on a pending entry",Feedback ID: existing pending feedback,Feedback status updated to Rejected; change reflected immediately in dashboard,Admin rejected the feedback entry; status was updated to Rejected and the change was immediately visible in the dashboard,Pass
TC-FB-06,Feedback Rating Validation – Zero Stars,Verify that submitting feedback with zero star rating shows a validation error,"User is logged in; on feedback page","1. Navigate to Feedback page 2. Enter a message 3. Leave rating unselected (0 stars) 4. Click Submit",Rating: none selected (0 stars),Validation error shown; feedback not submitted until a rating is selected,Validation error appeared asking user to select a rating; form submission was blocked until a star rating was chosen,Pass
TC-BS-01,Add Book to Bookshelf,Verify user can add a book to their bookshelf,"User is logged in; book exists in library","1. Browse books 2. Click Add to Bookshelf on a book 3. Go to Bookshelf page",bookId: any available book,Book appears in user's bookshelf list,Book was added to the bookshelf; it appeared in the Bookshelf page under the correct reading list category,Pass
TC-BS-02,Remove Book from Bookshelf,Verify user can remove a book from their bookshelf,User has at least one book in bookshelf,"1. Go to Bookshelf page 2. Click Remove/Trash icon on a book 3. Confirm removal",bookId: book in bookshelf,Book removed from bookshelf; toast notification shown,Book was removed from the bookshelf immediately; a toast notification confirmed the removal action,Pass
TC-BS-03,Mark Book as Currently Reading,Verify user can mark a bookshelf item as Currently Reading,User has at least one book in bookshelf with Want to Read status,"1. Go to Bookshelf page 2. Find a book with Want to Read status 3. Change status to Currently Reading 4. Verify update",bookId: book in bookshelf with Want to Read status,Book status updated to Currently Reading; change visible in bookshelf immediately,Book status was updated to Currently Reading and the bookshelf reflected the change immediately,Pass
